DisplayIndex=0
Millinits,DBV
3021,1
3168,2
3314,3
3461,4
3607,5
3754,6
3900,7
4047,8
4193,9
4340,10
4486,11
4633,12
4779,13
4926,14
5072,15
5219,16
5659,19
6246,23
6833,27
7420,31
8007,35
8741,40
9329,44
10064,49
10799,54
11535,59
12306,64
13033,68
13760,72
14669,77
15579,82
16488,87
17216,91
18308,97
19218,102
20128,107
21221,113
22131,118
23224,124
24317,130
25229,135
26505,142
27599,148
28693,154
29787,160
31065,167
32160,173
33438,180
34716,187
36000,193
37385,198
38772,203
39881,207
41269,212
42657,217
44046,222
45436,227
47106,233
48498,238
49891,243
51284,248
52958,254
54353,259
56029,265
57706,271
59104,276
60783,282
62464,288
64145,294
65828,300
67512,306
69197,312
70884,318
72755,323
74502,327
76249,331
77997,335
80184,340
81934,344
83685,348
85437,352
87628,357
89381,361
91575,366
93331,370
95527,375
97284,379
99483,384
101242,388
103443,393
105645,398
107408,402
109613,407
111819,412
114026,417
116235,422
118445,427
120657,432
122869,437
125084,442
127299,447
129665,452
131738,456
134333,461
136410,465
139010,470
141091,474
143696,479
146304,484
148392,488
151005,493
153621,498
155715,502
158336,507
160960,512
163587,517
165691,521
168323,526
170958,531
173596,536
176237,541
178881,546
181527,551
184177,556
186830,561
189485,566
192143,571
195337,577
198002,582
200616,586
203391,590
206168,594
208946,598
211725,602
214505,606
217983,611
220766,615
223551,619
226337,623
229125,627
232611,632
235401,636
238193,640
240986,644
244479,649
247275,653
250772,658
253571,662
256371,666
259873,671
262677,675
266182,680
268989,684
272498,689
275307,693
278821,698
282032,702
285248,706
288468,710
291691,714
294918,718
298149,722
302194,727
305433,731
308677,735
311925,739
315176,743
318431,747
322506,752
325770,756
329038,760
332310,764
336405,769
339685,773
342969,777
346258,781
350373,786
353670,790
356971,794
361102,799
364412,803
368554,808
371872,812
375194,816
378905,819
382615,822
386327,825
390038,828
393750,831
398700,835
402413,838
406126,841
409840,844
413554,847
417268,850
420983,853
424698,856
428414,859
432130,862
437085,866
440802,869
444519,872
448237,875
451955,878
456913,882
460632,885
464351,888
468071,891
473031,895
476752,898
480473,901
485435,905
489157,908
492879,911
497843,915
501566,918
505290,921
510255,925
513980,928
518947,932
522672,935
526398,938
531816,941
535429,943
540851,946
544466,948
548083,950
553510,953
557129,955
562559,958
566180,960
571614,963
575238,965
578863,967
584302,970
587930,972
593373,975
597002,977
602449,980
606081,982
611531,985
615166,987
620619,990
626075,993
629714,995
635174,998
638814,1000
644278,1003
647921,1005
653388,1008
657034,1010
662504,1013
667977,1016
671627,1018
677103,1021
680756,1023
